Customer_Id,Age,Gender,Location,Interests,Preferences,Income (per year in dollars),Education,Occupation
CUST2025,24,M,Seattle,Streaming,Subscriptions,75076.0,MBA,Finance Analyst
CUST2026,43,M,Austin,Shopping,Subscriptions,153588.0,MBA,Engineer
CUST2027,55,M,San Francisco,Gaming,Investments,83359.0,PhD,Engineer
CUST2028,41,M,San Francisco,Dining,Digital Banking,125659.0,Graduate,HR Manager
CUST2029,62,M,Los Angeles,Tech,Subscriptions,107296.0,Graduate,Engineer
CUST2030,18,M,Seattle,Travel,Subscriptions,94200.0,PhD,Finance Analyst
CUST2031,65,M,San Francisco,Travel,Insurance,64503.0,PhD,Marketing Manager
CUST2032,54,M,Seattle,Streaming,Subscriptions,170474.0,Master’s,Consultant
CUST2033,43,F,Miami,Streaming,Subscriptions,157516.0,Master’s,Engineer
CUST2034,28,F,Austin,Shopping,Insurance,67302.0,PhD,Finance Analyst
CUST2035,29,M,Austin,Shopping,Digital Banking,158539.0,Master’s,Finance Analyst
CUST2036,54,M,Seattle,Streaming,Investments,194800.0,Graduate,Engineer
CUST2037,59,M,Seattle,Shopping,Subscriptions,185656.0,Graduate,Engineer
CUST2038,49,M,Chicago,Shopping,Investments,167406.0,Graduate,Consultant
CUST2039,25,M,San Francisco,Travel,Subscriptions,62865.0,Master’s,Finance Analyst
CUST2040,23,F,Los Angeles,Shopping,Investments,147166.0,Graduate,HR Manager
CUST2041,42,F,Miami,Gaming,Investments,42152.0,MBA,Engineer
CUST2042,62,M,Miami,Gaming,Investments,154798.0,MBA,Marketing Manager
CUST2043,34,M,Miami,Dining,Investments,114820.0,Graduate,HR Manager
CUST2044,53,M,Miami,Streaming,Investments,61401.0,Master’s,Consultant
CUST2045,60,F,New York,Travel,Digital Banking,177388.0,Master’s,HR Manager
CUST2046,43,M,Chicago,Streaming,Subscriptions,65787.0,MBA,Marketing Manager
CUST2047,21,F,Chicago,Travel,Insurance,46331.0,Master’s,Finance Analyst
CUST2048,27,F,Chicago,Streaming,Digital Banking,116575.0,PhD,Finance Analyst
CUST2049,34,M,Los Angeles,Travel,Insurance,181536.0,Master’s,Marketing Manager
CUST2050,30,M,Los Angeles,Streaming,Subscriptions,124574.0,Master’s,Finance Analyst
CUST2051,43,F,New York,Gaming,Investments,153093.0,MBA,Engineer
CUST2052,28,F,Miami,Streaming,Investments,187058.0,Graduate,Marketing Manager
CUST2053,50,F,Austin,Gaming,Insurance,171265.0,MBA,HR Manager
CUST2054,34,F,San Francisco,Gaming,Investments,84645.0,PhD,Marketing Manager
CUST2055,22,F,Miami,Dining,Digital Banking,107251.0,PhD,Marketing Manager
CUST2056,48,M,Los Angeles,Tech,Subscriptions,127716.0,Master’s,Finance Analyst
CUST2057,42,F,San Francisco,Gaming,Investments,69577.0,PhD,Finance Analyst
CUST2058,22,F,New York,Tech,Subscriptions,40502.0,Graduate,Consultant
CUST2059,62,M,New York,Dining,Investments,98647.0,MBA,Finance Analyst
CUST2060,62,F,San Francisco,Streaming,Digital Banking,46171.0,Master’s,Engineer
CUST2061,46,F,San Francisco,Finance,Discounts,88031.0,PhD,Consultant
CUST2062,65,F,Seattle,Finance,Insurance,77440.0,PhD,Finance Analyst
CUST2063,24,F,New York,Finance,Insurance,168527.0,PhD,Consultant
CUST2064,26,F,Seattle,Streaming,Investments,140270.0,Graduate,Consultant
CUST2065,44,F,Austin,Tech,Discounts,157037.0,Master’s,Consultant
CUST2066,22,F,New York,Streaming,Insurance,104830.0,Graduate,Consultant
CUST2067,25,F,Austin,Gaming,Discounts,55595.0,MBA,HR Manager
CUST2068,42,M,San Francisco,Shopping,Digital Banking,192869.0,MBA,Engineer
CUST2069,34,F,New York,Gaming,Discounts,161344.0,Graduate,Finance Analyst
CUST2070,40,F,Miami,Finance,Digital Banking,140182.0,MBA,Finance Analyst
CUST2071,45,F,Los Angeles,Gaming,Subscriptions,103364.0,PhD,Consultant
CUST2072,38,F,Los Angeles,Travel,Investments,134988.0,Master’s,HR Manager
CUST2073,24,F,New York,Dining,Insurance,135425.0,PhD,Marketing Manager
CUST2074,37,M,Austin,Travel,Insurance,191965.0,PhD,Consultant
CUST2075,63,M,Austin,Travel,Digital Banking,60651.0,Graduate,Marketing Manager
CUST2076,44,F,Chicago,Streaming,Investments,171184.0,Graduate,Engineer
CUST2077,26,M,New York,Tech,Investments,130029.0,Master’s,Finance Analyst
CUST2078,21,F,Seattle,Gaming,Subscriptions,83882.0,MBA,HR Manager
CUST2079,60,M,San Francisco,Dining,Insurance,76868.0,MBA,Engineer
CUST2080,32,F,Austin,Tech,Insurance,145965.0,PhD,Consultant
CUST2081,43,F,Miami,Gaming,Insurance,81320.0,MBA,HR Manager
CUST2082,57,M,New York,Dining,Insurance,191622.0,Graduate,Marketing Manager
CUST2083,65,M,Miami,Travel,Digital Banking,185232.0,Graduate,Finance Analyst
CUST2084,42,M,San Francisco,Gaming,Discounts,39399.0,Master’s,Consultant
CUST2085,25,F,San Francisco,Tech,Subscriptions,60299.0,Graduate,Consultant
CUST2086,34,F,Austin,Travel,Subscriptions,178545.0,Master’s,Engineer
CUST2087,43,M,Los Angeles,Shopping,Insurance,134541.0,Master’s,Consultant
CUST2088,51,F,Seattle,Streaming,Investments,155332.0,Graduate,Marketing Manager
CUST2089,35,F,Los Angeles,Dining,Digital Banking,79865.0,MBA,Finance Analyst
CUST2090,25,M,San Francisco,Streaming,Investments,47917.0,Graduate,Marketing Manager
CUST2091,52,M,New York,Travel,Discounts,37777.0,Graduate,Consultant
CUST2092,34,F,Seattle,Finance,Discounts,196451.0,Graduate,Marketing Manager
CUST2093,34,F,Chicago,Shopping,Discounts,45325.0,Graduate,Engineer
CUST2094,27,M,San Francisco,Finance,Digital Banking,77284.0,MBA,Marketing Manager
CUST2095,54,F,Miami,Travel,Investments,121559.0,MBA,Consultant
CUST2096,47,F,San Francisco,Travel,Discounts,180335.0,Master’s,Consultant
CUST2097,24,M,Chicago,Streaming,Discounts,79763.0,PhD,HR Manager
CUST2098,50,M,Seattle,Streaming,Investments,104962.0,MBA,Engineer
CUST2099,23,F,Miami,Dining,Discounts,184746.0,PhD,Marketing Manager
CUST2100,59,M,San Francisco,Tech,Investments,166546.0,MBA,Finance Analyst
CUST2101,39,F,Miami,Finance,Investments,113180.0,MBA,HR Manager
CUST2102,43,M,New York,Travel,Discounts,184135.0,MBA,Consultant
CUST2103,63,F,Austin,Finance,Discounts,39805.0,Master’s,Consultant
CUST2104,44,M,Miami,Dining,Discounts,132714.0,PhD,HR Manager
CUST2105,48,F,Los Angeles,Streaming,Investments,47640.0,Master’s,Marketing Manager
CUST2106,28,M,Miami,Streaming,Subscriptions,42836.0,Graduate,Consultant
CUST2107,50,M,Miami,Streaming,Subscriptions,103561.0,Graduate,Consultant
CUST2108,58,M,Seattle,Travel,Discounts,177733.0,Graduate,Finance Analyst
CUST2109,31,M,Miami,Travel,Investments,63254.0,Graduate,Marketing Manager
CUST2110,47,M,Seattle,Travel,Investments,103117.0,Graduate,Finance Analyst
CUST2111,56,M,Los Angeles,Gaming,Investments,150161.0,Master’s,HR Manager
CUST2112,26,M,Los Angeles,Streaming,Digital Banking,103075.0,Master’s,Consultant
CUST2113,53,M,New York,Tech,Subscriptions,186433.0,MBA,Consultant
CUST2114,19,M,Austin,Gaming,Subscriptions,198067.0,PhD,Marketing Manager
CUST2115,53,F,San Francisco,Shopping,Discounts,188594.0,MBA,HR Manager
CUST2116,29,F,Seattle,Shopping,Insurance,85454.0,Master’s,Finance Analyst
CUST2117,27,F,Miami,Tech,Insurance,163025.0,PhD,Consultant
CUST2118,61,F,Seattle,Tech,Subscriptions,98225.0,MBA,Consultant
CUST2119,63,M,Miami,Shopping,Discounts,108095.0,PhD,Marketing Manager
CUST2120,19,F,New York,Shopping,Subscriptions,59816.0,Master’s,Marketing Manager
CUST2121,18,F,Chicago,Travel,Investments,43132.0,Master’s,Finance Analyst
CUST2122,65,F,Chicago,Gaming,Subscriptions,31489.0,Master’s,Consultant
CUST2123,23,F,Chicago,Dining,Discounts,82909.0,Master’s,Consultant
CUST2124,19,F,Chicago,Travel,Insurance,54953.0,PhD,HR Manager
CUST2125,23,F,Austin,Dining,Digital Banking,161252.0,Master’s,Engineer
CUST2126,31,F,San Francisco,Tech,Digital Banking,132219.0,Graduate,Consultant
CUST2127,37,F,New York,Travel,Investments,155638.0,PhD,Marketing Manager
CUST2128,24,M,Austin,Dining,Subscriptions,161959.0,Master’s,Finance Analyst
CUST2129,34,M,New York,Shopping,Subscriptions,181325.0,Master’s,Engineer
CUST2130,19,F,Los Angeles,Dining,Insurance,178610.0,Graduate,Consultant
CUST2131,45,M,New York,Tech,Subscriptions,141801.0,MBA,HR Manager
CUST2132,39,M,Los Angeles,Gaming,Discounts,139079.0,Master’s,Finance Analyst
CUST2133,53,F,New York,Gaming,Discounts,157592.0,PhD,Marketing Manager
CUST2134,42,M,Austin,Dining,Subscriptions,38844.0,Master’s,Engineer
CUST2135,41,F,Los Angeles,Streaming,Insurance,76530.0,Graduate,Engineer
CUST2136,42,M,Chicago,Tech,Subscriptions,59114.0,Graduate,Engineer
CUST2137,36,F,New York,Tech,Discounts,45241.0,Graduate,Finance Analyst
CUST2138,45,M,Seattle,Finance,Insurance,55456.0,Graduate,Marketing Manager
CUST2139,53,F,Los Angeles,Finance,Subscriptions,190118.0,PhD,Consultant
CUST2140,22,M,Chicago,Dining,Investments,93939.0,MBA,Engineer
CUST2141,61,M,San Francisco,Finance,Digital Banking,192538.0,Graduate,HR Manager
CUST2142,64,F,Chicago,Dining,Discounts,136900.0,Master’s,Finance Analyst
CUST2143,34,M,Chicago,Tech,Subscriptions,193253.0,Graduate,HR Manager
