Customer_Id,Age,Gender,Location,Interests,Preferences,Income (per year in dollars),Education,Occupation
CUST2025,24,M,Seattle,Streaming,Subscriptions,75076,MBA,Finance Analyst
CUST2026,43,M,Austin,Shopping,Subscriptions,153588,MBA,Engineer
CUST2027,55,M,San Francisco,Gaming,Investments,83359,PhD,Engineer
CUST2028,41,M,San Francisco,Dining,Digital Banking,125659,Graduate,HR Manager
CUST2029,62,M,Los Angeles,Tech,Subscriptions,107296,Graduate,Engineer
CUST2030,18,M,Seattle,Travel,Subscriptions,94200,PhD,Finance Analyst
CUST2031,65,M,San Francisco,Travel,Insurance,64503,PhD,Marketing Manager
CUST2032,54,M,Seattle,Streaming,Subscriptions,170474,Master’s,Consultant
CUST2033,43,F,Miami,Streaming,Subscriptions,157516,Master’s,Engineer
CUST2034,28,F,Austin,Shopping,Insurance,67302,PhD,Finance Analyst
CUST2035,29,M,Austin,Shopping,Digital Banking,158539,Master’s,Finance Analyst
CUST2036,54,M,Seattle,Streaming,Investments,194800,Graduate,Engineer
CUST2037,59,M,Seattle,Shopping,Subscriptions,185656,Graduate,Engineer
CUST2038,49,M,Chicago,Shopping,Investments,167406,Graduate,Consultant
CUST2039,25,M,San Francisco,Travel,Subscriptions,62865,Master’s,Finance Analyst
CUST2040,23,F,Los Angeles,Shopping,Investments,147166,Graduate,HR Manager
CUST2041,42,F,Miami,Gaming,Investments,42152,MBA,Engineer
CUST2042,62,M,Miami,Gaming,Investments,154798,MBA,Marketing Manager
CUST2043,34,M,Miami,Dining,Investments,114820,Graduate,HR Manager
CUST2044,53,M,Miami,Streaming,Investments,61401,Master’s,Consultant
CUST2045,60,F,New York,Travel,Digital Banking,177388,Master’s,HR Manager
CUST2046,43,M,Chicago,Streaming,Subscriptions,65787,MBA,Marketing Manager
CUST2047,21,F,Chicago,Travel,Insurance,46331,Master’s,Finance Analyst
CUST2048,27,F,Chicago,Streaming,Digital Banking,116575,PhD,Finance Analyst
CUST2049,34,M,Los Angeles,Travel,Insurance,181536,Master’s,Marketing Manager
CUST2050,30,M,Los Angeles,Streaming,Subscriptions,124574,Master’s,Finance Analyst
CUST2051,43,F,New York,Gaming,Investments,153093,MBA,Engineer
CUST2052,28,F,Miami,Streaming,Investments,187058,Graduate,Marketing Manager
CUST2053,50,F,Austin,Gaming,Insurance,171265,MBA,HR Manager
CUST2054,34,F,San Francisco,Gaming,Investments,84645,PhD,Marketing Manager
CUST2055,22,F,Miami,Dining,Digital Banking,107251,PhD,Marketing Manager
CUST2056,48,M,Los Angeles,Tech,Subscriptions,127716,Master’s,Finance Analyst
CUST2057,42,F,San Francisco,Gaming,Investments,69577,PhD,Finance Analyst
CUST2058,22,F,New York,Tech,Subscriptions,40502,Graduate,Consultant
CUST2059,62,M,New York,Dining,Investments,98647,MBA,Finance Analyst
CUST2060,62,F,San Francisco,Streaming,Digital Banking,46171,Master’s,Engineer
CUST2061,46,F,San Francisco,Finance,Discounts,88031,PhD,Consultant
CUST2062,65,F,Seattle,Finance,Insurance,77440,PhD,Finance Analyst
CUST2063,24,F,New York,Finance,Insurance,168527,PhD,Consultant
CUST2064,26,F,Seattle,Streaming,Investments,140270,Graduate,Consultant
CUST2065,44,F,Austin,Tech,Discounts,157037,Master’s,Consultant
CUST2066,22,F,New York,Streaming,Insurance,104830,Graduate,Consultant
CUST2067,25,F,Austin,Gaming,Discounts,55595,MBA,HR Manager
CUST2068,42,M,San Francisco,Shopping,Digital Banking,192869,MBA,Engineer
CUST2069,34,F,New York,Gaming,Discounts,161344,Graduate,Finance Analyst
CUST2070,40,F,Miami,Finance,Digital Banking,140182,MBA,Finance Analyst
CUST2071,45,F,Los Angeles,Gaming,Subscriptions,103364,PhD,Consultant
CUST2072,38,F,Los Angeles,Travel,Investments,134988,Master’s,HR Manager
CUST2073,24,F,New York,Dining,Insurance,135425,PhD,Marketing Manager
CUST2074,37,M,Austin,Travel,Insurance,191965,PhD,Consultant
CUST2075,63,M,Austin,Travel,Digital Banking,60651,Graduate,Marketing Manager
CUST2076,44,F,Chicago,Streaming,Investments,171184,Graduate,Engineer
CUST2077,26,M,New York,Tech,Investments,130029,Master’s,Finance Analyst
CUST2078,21,F,Seattle,Gaming,Subscriptions,83882,MBA,HR Manager
CUST2079,60,M,San Francisco,Dining,Insurance,76868,MBA,Engineer
CUST2080,32,F,Austin,Tech,Insurance,145965,PhD,Consultant
CUST2081,43,F,Miami,Gaming,Insurance,81320,MBA,HR Manager
CUST2082,57,M,New York,Dining,Insurance,191622,Graduate,Marketing Manager
CUST2083,65,M,Miami,Travel,Digital Banking,185232,Graduate,Finance Analyst
CUST2084,42,M,San Francisco,Gaming,Discounts,39399,Master’s,Consultant
CUST2085,25,F,San Francisco,Tech,Subscriptions,60299,Graduate,Consultant
