Customer_Id,Industry,Financial_Needs,Preferences,Revenue_Lower,Revenue_Upper,Revenue_Mid,Employees_Lower,Employees_Upper,Employees_Mid
ORG_US_000,Real Estate,Payment Processing,Ethical Sourcing,100000000.0,500000000.0,300000000.0,1000.0,5000.0,3000.0
ORG_US_001,Finance,Supply Chain Financing,Cloud Services,500000000.0,1000000000.0,750000000.0,500.0,1000.0,750.0
ORG_US_002,IT Services,Supply Chain Financing,Digital Payments,50000000.0,100000000.0,75000000.0,1000.0,5000.0,3000.0
ORG_US_003,Healthcare,Business Loans,Digital Payments,50000000.0,100000000.0,75000000.0,1000.0,5000.0,3000.0
ORG_US_004,IT Services,Payment Processing,Ethical Sourcing,10000000.0,50000000.0,30000000.0,1000.0,5000.0,3000.0
ORG_US_005,Retail,Supply Chain Financing,Employee Benefits,500000000.0,1000000000.0,750000000.0,500.0,1000.0,750.0
ORG_US_006,Education,Business Loans,Employee Benefits,500000000.0,1000000000.0,750000000.0,1000.0,5000.0,3000.0
ORG_US_007,Education,Business Loans,Ethical Sourcing,10000000.0,50000000.0,30000000.0,500.0,1000.0,750.0
ORG_US_008,Healthcare,Payment Processing,Cloud Services,500000000.0,1000000000.0,750000000.0,500.0,1000.0,750.0
ORG_US_009,Finance,Investment Funds,Employee Benefits,500000000.0,1000000000.0,750000000.0,100.0,500.0,300.0
ORG_US_010,Manufacturing,Payment Processing,Employee Benefits,50000000.0,100000000.0,75000000.0,100.0,500.0,300.0
ORG_US_011,IT Services,Supply Chain Financing,Ethical Sourcing,10000000.0,50000000.0,30000000.0,500.0,1000.0,750.0
ORG_US_012,Education,Investment Funds,Employee Benefits,10000000.0,50000000.0,30000000.0,100.0,500.0,300.0
ORG_US_013,Manufacturing,Business Loans,Ethical Sourcing,10000000.0,50000000.0,30000000.0,500.0,1000.0,750.0
ORG_US_014,IT Services,Supply Chain Financing,Employee Benefits,100000000.0,500000000.0,300000000.0,100.0,500.0,300.0
ORG_US_015,Real Estate,Business Loans,Employee Benefits,100000000.0,500000000.0,300000000.0,100.0,500.0,300.0
ORG_US_016,Education,Business Loans,Digital Payments,500000000.0,1000000000.0,750000000.0,100.0,500.0,300.0
ORG_US_017,Finance,Supply Chain Financing,Digital Payments,50000000.0,100000000.0,75000000.0,1000.0,5000.0,3000.0
ORG_US_018,Manufacturing,Business Loans,Employee Benefits,10000000.0,50000000.0,30000000.0,100.0,500.0,300.0
ORG_US_019,Education,Payment Processing,Ethical Sourcing,10000000.0,50000000.0,30000000.0,500.0,1000.0,750.0
ORG_US_020,Real Estate,Business Loans,Cloud Services,10000000.0,50000000.0,30000000.0,100.0,500.0,300.0
ORG_US_021,Education,Payment Processing,Cloud Services,100000000.0,500000000.0,300000000.0,1000.0,5000.0,3000.0
ORG_US_022,Real Estate,Payment Processing,Ethical Sourcing,50000000.0,100000000.0,75000000.0,500.0,1000.0,750.0
ORG_US_023,Real Estate,Payment Processing,Cloud Services,500000000.0,1000000000.0,750000000.0,500.0,1000.0,750.0
ORG_US_024,Real Estate,Investment Funds,Cloud Services,500000000.0,1000000000.0,750000000.0,1000.0,5000.0,3000.0
ORG_US_025,IT Services,Payment Processing,Cloud Services,50000000.0,100000000.0,75000000.0,1000.0,5000.0,3000.0
ORG_US_026,IT Services,Investment Funds,Cloud Services,50000000.0,100000000.0,75000000.0,100.0,500.0,300.0
ORG_US_027,Real Estate,Investment Funds,Employee Benefits,10000000.0,50000000.0,30000000.0,500.0,1000.0,750.0
ORG_US_028,Finance,Supply Chain Financing,Cloud Services,500000000.0,1000000000.0,750000000.0,1000.0,5000.0,3000.0
ORG_US_029,Education,Business Loans,Ethical Sourcing,500000000.0,1000000000.0,750000000.0,500.0,1000.0,750.0
ORG_US_030,Healthcare,Business Loans,Digital Payments,10000000.0,50000000.0,30000000.0,1000.0,5000.0,3000.0
ORG_US_031,Healthcare,Investment Funds,Digital Payments,500000000.0,1000000000.0,750000000.0,500.0,1000.0,750.0
ORG_US_032,Retail,Payment Processing,Employee Benefits,500000000.0,1000000000.0,750000000.0,1000.0,5000.0,3000.0
ORG_US_033,IT Services,Payment Processing,Cloud Services,100000000.0,500000000.0,300000000.0,1000.0,5000.0,3000.0
ORG_US_034,Finance,Supply Chain Financing,Cloud Services,500000000.0,1000000000.0,750000000.0,500.0,1000.0,750.0
ORG_US_035,Finance,Supply Chain Financing,Digital Payments,50000000.0,100000000.0,75000000.0,100.0,500.0,300.0
ORG_US_036,Manufacturing,Payment Processing,Cloud Services,500000000.0,1000000000.0,750000000.0,1000.0,5000.0,3000.0
ORG_US_037,Manufacturing,Payment Processing,Employee Benefits,50000000.0,100000000.0,75000000.0,500.0,1000.0,750.0
ORG_US_038,IT Services,Investment Funds,Ethical Sourcing,100000000.0,500000000.0,300000000.0,500.0,1000.0,750.0
ORG_US_039,Manufacturing,Supply Chain Financing,Employee Benefits,50000000.0,100000000.0,75000000.0,500.0,1000.0,750.0
ORG_US_040,Finance,Investment Funds,Employee Benefits,500000000.0,1000000000.0,750000000.0,500.0,1000.0,750.0
ORG_US_041,IT Services,Investment Funds,Digital Payments,10000000.0,50000000.0,30000000.0,1000.0,5000.0,3000.0
ORG_US_042,Real Estate,Investment Funds,Cloud Services,500000000.0,1000000000.0,750000000.0,100.0,500.0,300.0
ORG_US_043,Manufacturing,Payment Processing,Ethical Sourcing,500000000.0,1000000000.0,750000000.0,500.0,1000.0,750.0
ORG_US_044,Healthcare,Supply Chain Financing,Ethical Sourcing,500000000.0,1000000000.0,750000000.0,500.0,1000.0,750.0
