Customer_Id,Product_Id,Transaction Type,Category,Amount (in dollars),Purchase Date,Payment Mode
CUST2899,2445,BNP Usage,Fashion & Clothing,138100.0,2025-03-07,Debit Card
CUST2175,9230,BNP Usage,Subscription & Promotions,83605.0,2024-04-02,Debit Card
CUST2757,1580,BNP Usage,Real Estate,319628.0,2025-01-29,Credit Card
ORG_US_1877,7444,Real Estate Booking,Fashion & Clothing,246410.0,2024-08-22,Debit Card
ORG_US_1434,1499,BNP Usage,Real Estate,226998.0,2024-01-14,Debit Card
CUST3601,3851,Retail Shopping,Subscription & Promotions,377115.0,2024-12-06,Pay Transfer
ORG_US_1133,492,Subscription Payment,Fashion & Clothing,453861.0,2025-03-14,Credit Card
ORG_US_368,6943,Subscription Payment,Finance & Banking,128605.0,2025-02-26,Pay Transfer
ORG_US_639,3236,Subscription Payment,Real Estate,15863.0,2024-12-25,Debit Card
CUST3883,4835,Real Estate Booking,Fashion & Clothing,215781.0,2025-03-16,Credit Card
ORG_US_1712,7798,Retail Shopping,Real Estate,387718.0,2025-02-25,Pay Transfer
ORG_US_1233,4076,Real Estate Booking,Real Estate,78332.0,2024-07-19,Wire Transfer
CUST3004,4491,Retail Shopping,Fashion & Clothing,33625.0,2024-02-19,Debit Card
ORG_US_726,8808,Retail Shopping,Fashion & Clothing,385182.0,2024-02-27,Debit Card
CUST2903,8876,Retail Shopping,Real Estate,111455.0,2024-08-31,Credit Card
CUST3846,6374,Real Estate Booking,Finance & Banking,278178.0,2024-05-02,Credit Card
ORG_US_1767,8810,Retail Shopping,Finance & Banking,468423.0,2024-04-19,Wire Transfer
ORG_US_651,7965,Real Estate Booking,Real Estate,168780.0,2025-02-03,Wire Transfer
CUST2105,6494,Real Estate Booking,Subscription & Promotions,496336.0,2024-12-30,Debit Card
ORG_US_051,9107,Retail Shopping,Real Estate,260100.0,2025-03-12,Debit Card
ORG_US_896,4731,BNP Usage,Real Estate,65116.0,2024-04-08,Wire Transfer
ORG_US_1400,4999,BNP Usage,Real Estate,451508.0,2024-01-04,Debit Card
CUST2309,9016,Subscription Payment,Real Estate,218797.0,2025-01-25,Wire Transfer
CUST2352,8327,Real Estate Booking,Real Estate,218897.0,2025-01-19,Pay Transfer
ORG_US_714,3664,Retail Shopping,Subscription & Promotions,164402.0,2024-11-09,Debit Card
ORG_US_1114,2445,Real Estate Booking,Subscription & Promotions,454081.0,2024-08-26,Pay Transfer
CUST2563,8821,Subscription Payment,Subscription & Promotions,261361.0,2024-09-10,Wire Transfer
CUST3581,5283,BNP Usage,Fashion & Clothing,441655.0,2024-08-04,Wire Transfer
ORG_US_1010,5776,Real Estate Booking,Finance & Banking,360183.0,2024-07-06,Debit Card
CUST2516,7497,Retail Shopping,Real Estate,180906.0,2024-01-26,Debit Card
CUST3470,9263,Real Estate Booking,Subscription & Promotions,65015.0,2024-04-27,Pay Transfer
ORG_US_1256,9735,BNP Usage,Subscription & Promotions,362416.0,2024-03-09,Pay Transfer
ORG_US_1830,9182,BNP Usage,Subscription & Promotions,413885.0,2024-01-01,Pay Transfer
CUST3994,4478,BNP Usage,Subscription & Promotions,149170.0,2024-10-31,Wire Transfer
ORG_US_1714,6472,Real Estate Booking,Subscription & Promotions,459200.0,2024-07-12,Wire Transfer
CUST2414,1409,Real Estate Booking,Real Estate,178097.0,2025-01-09,Credit Card
ORG_US_1688,3402,Subscription Payment,Finance & Banking,105505.0,2024-09-12,Pay Transfer
CUST3636,6994,BNP Usage,Subscription & Promotions,415128.0,2024-01-01,Wire Transfer
ORG_US_937,8465,Real Estate Booking,Real Estate,60376.0,2024-03-24,Debit Card
ORG_US_1042,1763,Real Estate Booking,Subscription & Promotions,40999.0,2024-02-06,Wire Transfer
ORG_US_1231,2152,Real Estate Booking,Finance & Banking,160147.0,2024-08-14,Credit Card
ORG_US_029,2838,BNP Usage,Fashion & Clothing,98696.0,2024-07-10,Credit Card
ORG_US_1065,7395,Retail Shopping,Fashion & Clothing,105712.0,2024-07-05,Wire Transfer
ORG_US_068,8608,Real Estate Booking,Finance & Banking,217280.0,2024-05-30,Wire Transfer
CUST3712,6232,BNP Usage,Subscription & Promotions,424369.0,2024-11-16,Wire Transfer
CUST2398,3536,Subscription Payment,Subscription & Promotions,248407.0,2024-03-08,Debit Card
CUST2819,8337,Real Estate Booking,Real Estate,195784.0,2024-12-04,Credit Card
CUST2836,3101,BNP Usage,Real Estate,125064.0,2025-02-06,Credit Card
ORG_US_916,6441,Subscription Payment,Subscription & Promotions,392852.0,2024-09-07,Wire Transfer
ORG_US_651,1994,Retail Shopping,Subscription & Promotions,139253.0,2024-09-02,Credit Card
ORG_US_1050,4396,BNP Usage,Subscription & Promotions,309599.0,2024-05-06,Wire Transfer
ORG_US_610,3128,BNP Usage,Finance & Banking,334118.0,2024-02-21,Pay Transfer
CUST2976,2153,Subscription Payment,Finance & Banking,283467.0,2024-05-08,Pay Transfer
CUST3293,1258,Subscription Payment,Finance & Banking,271381.0,2024-02-03,Pay Transfer
ORG_US_1992,9961,BNP Usage,Fashion & Clothing,344783.0,2024-01-22,Debit Card
ORG_US_1525,2879,Real Estate Booking,Finance & Banking,91223.0,2024-01-23,Pay Transfer
CUST2142,1902,BNP Usage,Fashion & Clothing,143992.0,2024-01-31,Pay Transfer
ORG_US_1933,5136,BNP Usage,Subscription & Promotions,345862.0,2024-05-05,Wire Transfer
ORG_US_801,4273,Retail Shopping,Fashion & Clothing,86803.0,2024-04-06,Pay Transfer
ORG_US_847,8248,Retail Shopping,Finance & Banking,205545.0,2024-08-23,Debit Card
CUST3365,6317,Retail Shopping,Subscription & Promotions,429000.0,2024-06-01,Credit Card
ORG_US_1799,8918,BNP Usage,Fashion & Clothing,203634.0,2024-04-20,Debit Card
CUST3167,2966,BNP Usage,Finance & Banking,377098.0,2025-02-16,Credit Card
ORG_US_415,204,Subscription Payment,Finance & Banking,435305.0,2024-01-02,Wire Transfer
CUST2972,671,Real Estate Booking,Real Estate,369830.0,2024-10-04,Credit Card
ORG_US_1655,8194,Subscription Payment,Subscription & Promotions,358084.0,2024-08-20,Credit Card
CUST2818,4979,Retail Shopping,Finance & Banking,428953.0,2024-05-09,Debit Card
ORG_US_1935,9276,BNP Usage,Real Estate,345780.0,2024-07-19,Pay Transfer
CUST3569,6856,Real Estate Booking,Finance & Banking,175445.0,2025-02-27,Pay Transfer
CUST3291,1286,Real Estate Booking,Subscription & Promotions,226210.0,2024-08-19,Credit Card
ORG_US_684,9373,Real Estate Booking,Finance & Banking,176312.0,2024-07-02,Debit Card
CUST3202,3510,Real Estate Booking,Fashion & Clothing,241481.0,2024-06-29,Pay Transfer
ORG_US_1840,3973,Retail Shopping,Subscription & Promotions,263162.0,2024-12-19,Credit Card
ORG_US_1745,5609,Subscription Payment,Subscription & Promotions,385926.0,2025-03-04,Pay Transfer
ORG_US_105,894,Real Estate Booking,Real Estate,173254.0,2024-06-22,Credit Card
ORG_US_245,4646,Retail Shopping,Subscription & Promotions,44062.0,2024-07-27,Pay Transfer
CUST3984,8151,BNP Usage,Finance & Banking,95308.0,2024-08-02,Pay Transfer
CUST2855,6405,BNP Usage,Finance & Banking,13558.0,2024-01-07,Pay Transfer
CUST2865,305,Retail Shopping,Subscription & Promotions,103919.0,2024-11-05,Credit Card
CUST2719,432,Retail Shopping,Fashion & Clothing,252143.0,2024-09-08,Debit Card
CUST2901,9094,BNP Usage,Subscription & Promotions,113739.0,2024-07-06,Debit Card
CUST3740,1862,Real Estate Booking,Subscription & Promotions,120559.0,2024-07-11,Wire Transfer
CUST2284,3071,Real Estate Booking,Fashion & Clothing,92303.0,2024-09-19,Wire Transfer
CUST2688,6087,BNP Usage,Real Estate,149228.0,2025-02-15,Pay Transfer
CUST2510,9425,BNP Usage,Subscription & Promotions,480093.0,2024-04-07,Credit Card
CUST2759,6755,Subscription Payment,Real Estate,192469.0,2025-03-14,Debit Card
CUST3875,5760,Real Estate Booking,Real Estate,457972.0,2025-01-24,Credit Card
CUST3866,2954,Subscription Payment,Finance & Banking,317517.0,2024-11-08,Pay Transfer
